Specie;Loc;A;B;PER
vignai;Tundo;233;102,54;466,93
vignai;Tundo;208,38;114,09;546,13
delphinicus;Topalinda;228,25;119,7;462,08
delphinicus;Nebin;230,98;110,02;469
delphinicus;Nebin;252,59;136,53;508,18
delphinicus;Drai;282,91;141;603,82
delphinicus;Drai;249,26;136,85;497,04
delphinicus;Drai;248,91;132,08;509,25
achillis;Tuna;237,29;146,85;474,41
achillis;Tornini;218,05;122,1;504,35
achillis;Tornini;234,45;112,76;452,04
achillis;Diavolo;222,99;114,77;491,05
achillis;Bocetto;224,9;132,97;506,1
vignai;Valenza;294,29;120,94;530,97
vignai;F12;244,9;131,35;413,16
vignai;Ciuaiera;289,09;155,98;546,05
vignai;Ciuaiera;286,35;134,29;490,08
vignai;Camoscere;298,61;115,6;483,9
vignai;Bessone;258,93;108,96;550,03
