Species;Sex;Cave;Fe_I;Tb_I;Mt_I;Ta_I;Fe_II;Tb_II;Mt_II;Ta_II;Pst_LINE;Ant_LINE;AME;ALE;PME;PLE;WIDTH;HEIGHT;Sterno_L;Sterno_W
achillis;femmina;Bocetto;2.50;2.61;2.37;1.44;2.41;2.43;2.22;1.28;0.39;0.37;0.05;0.07;0.07;0.06;1.04;0.55;0.84;0.80
achillis;maschio;Tana del Diavolo;2.77;2.98;2.70;1.50;2.77;2.88;2.70;1.43;0.45;0.43;0.07;0.07;0.06;0.07;1.20;0.71;0.89;0.83
achillis;maschio;Tana del Diavolo;2.62;2.68;2.61;1.43;2.59;2.77;2.54;1.39;0.44;0.42;0.05;0.07;0.06;0.07;1.15;0.60;0.88;0.78
achillis;maschio;Tana del Diavolo;2.87;2.98;2.81;1.34;2.84;2.97;2.75;1.39;0.46;0.43;0.07;0.07;0.06;0.08;1.22;0.72;0.88;0.88
achillis;femmina;Tornini;2.51;2.46;2.23;1.34;2.46;2.46;2.14;1.20;0.37;0.34;0.04;0.07;0.06;0.05;1.08;0.52;0.79;0.77
achillis;femmina;Tornini;2.58;2.54;2.35;1.33;2.50;2.45;2.11;1.24;0.39;0.34;0.04;0.06;0.07;0.07;1.11;0.51;0.84;0.75
achillis;femmina;Tornini;2.28;2.46;2.20;1.31;2.29;2.44;2.13;1.21;0.37;0.34;0.03;0.07;0.08;0.06;1.05;0.49;0.78;0.72
achillis;maschio;Tornini;2.47;2.59;2.33;1.39;2.51;2.48;2.35;1.22;0.39;0.34;0.03;0.08;0.07;0.06;1.11;0.50;0.87;0.68
achillis;maschio;Tornini;2.44;2.61;2.35;1.40;2.45;2.50;2.34;1.28;0.38;0.36;0.04;0.06;0.06;0.07;1.09;0.56;0.82;0.78
achillis;femmina;Chiabrano;2.50;2.69;2.25;1.46;2.52;2.58;2.25;1.36;0.42;0.38;0.05;0.08;0.06;0.08;1.11;0.47;0.78;0.77
achillis;femmina;Chiabrano;2.53;2.53;2.29;1.37;2.38;2.55;2.22;1.29;0.39;0.34;0.05;0.06;0.06;0.07;1.06;0.41;0.77;0.71
achillis;femmina;Chiabrano;2.50;2.67;2.34;1.41;2.45;2.50;2.26;1.12;0.40;0.35;0.05;0.06;0.05;0.07;1.05;0.57;0.72;0.78
achillis;femmina;Chiabrano;2.55;2.55;2.67;1.45;2.54;2.56;2.29;1.33;0.41;0.38;0.05;0.07;0.07;0.08;1.08;0.55;0.77;0.79
